id;NU_ANO_CENSO;CO_IES;CO_CURSO;TP_TURNO;TP_GRAU_ACADEMICO;TP_MODALIDADE_ENSINO;ID_ALUNO;CO_ALUNO_CURSO;TP_COR_RACA;TP_SEXO;NU_ANO_NASCIMENTO;NU_MES_NASCIMENTO;NU_DIA_NASCIMENTO;NU_IDADE;TP_NACIONALIDADE;IN_DEFICIENCIA;TP_SITUACAO;QT_CARGA_HORARIA_TOTAL;QT_CARGA_HORARIA_INTEG;DT_INGRESSO_CURSO;IN_INGRESSO_VESTIBULAR;IN_INGRESSO_ENEM;IN_INGRESSO_VAGA_REMANESC;IN_INGRESSO_EGRESSO;IN_RESERVA_VAGAS;IN_RESERVA_ETNICO;IN_RESERVA_DEFICIENCIA;IN_RESERVA_ENSINO_PUBLICO;IN_RESERVA_RENDA_FAMILIAR;IN_RESERVA_OUTRA;IN_APOIO_SOCIAL;IN_APOIO_ALIMENTACAO;IN_APOIO_BOLSA_PERMANENCIA;IN_APOIO_BOLSA_TRABALHO;IN_APOIO_MATERIAL_DIDATICO;IN_APOIO_MORADIA;IN_APOIO_TRANSPORTE;ATIV_EXTRA;IN_COMPLEMENTAR_ESTAGIO;IN_COMPLEMENTAR_EXTENSAO;IN_COMPLEMENTAR_MONITORIA;IN_COMPLEMENTAR_PESQUISA;IN_BOLSA_ESTAGIO;IN_BOLSA_EXTENSAO;IN_BOLSA_MONITORIA;IN_BOLSA_PESQUISA;TP_ESCOLA_CONCLUSAO_ENS_MEDIO;IN_MATRICULA;IN_CONCLUINTE;IN_INGRESSO_TOTAL;NU_ANO_INGRESSO;TP_COR_RACA_AGRUP;TIPO_INGRESSO;DT_NASCIMENTO;SEMESTRE_INGRESSO;ANO_SEMESTRE_INGRESSO;TP_SITUACAO_AGRUP;NU_CARGA_HORARIA;NO_CURSO;IDADE_INGRESSO;SEMESTRE_CONCLUSAO;DT_CONCLUSAO;TEMP_SEMEST_ATE_FORMAT;TEMP_SEMEST_Cursando;TEMPOS;IN_CENSURA;AREA_INGRESSO;NU_CARGA_HORARIA_NOVA;PCT_INTEG;PCT_INTEG_INTERV;INTEG_SEMEST;IN_EVASAO;TP_SITUACAO_NOVA;INGRESSO_ENEM;TEMP_SEMEST_Cursando_retido;TP_SITUACAO_NEW;EVENTOS_COD;CENSURA;status_cens;RESERVA_ESCOLA
1;2019;578;13281;Integral;Bacharelado;1;B64117D34605765BF8027CF7A160CD9C;41509056;Não declarou;Masculino;1983;7;9;36;Brasileira;Não;Desvinculado do curso;3006;3077;01/01/2010;Sim;Não;Não;Não;Não;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Não;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Não;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não faz atividade extracurricular de estágio;Aluno não faz atividade extracurricular de extensão;Aluno não faz atividade extracurricular de monitoria;Aluno não faz atividade extracurricular de pesquisa;Privada;Situação diferente de matrícula;Situação diferente de concluinte;Situação diferente de ingresso total;2010;Não declarou;Vestibular;09/07/1983;1º semestre;2010,1;evadido;3006;Estatística;27;Não concluinte;Não concluinte;NA;20;20;0;Area 1;3040;101,22;(100,199.7];6;NA;Desvinculado do curso ou Transferido para outro curso da UFBA;0;NA;Evadido;2;1;1;SemReserva/privada
2;2019;578;13281;Integral;Bacharelado;1;067B61953BADE058A2B9781943C384AF;44531203;Parda;Feminino;1975;10;4;44;Brasileira;Não;Desvinculado do curso;3006;2244;01/01/2009;Sim;Não;Não;Não;Sim;Sim;Não, aluno possui outro tipo de reserva de vagas;Sim;Não, aluno possui outro tipo de reserva de vagas;Não, aluno possui outro tipo de reserva de vagas;Não;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Não;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não faz atividade extracurricular de estágio;Aluno não faz atividade extracurricular de extensão;Aluno não faz atividade extracurricular de monitoria;Aluno não faz atividade extracurricular de pesquisa;Pública;Situação diferente de matrícula;Situação diferente de concluinte;Situação diferente de ingresso total;2009;Preta, Parda e Indígena;Vestibular;04/10/1975;1º semestre;2009,1;evadido;3006;Estatística;33;Não concluinte;Não concluinte;NA;22;22;0;Area 1;3143;71,4;(50,75];7;NA;Desvinculado do curso ou Transferido para outro curso da UFBA;0;NA;Evadido;2;1;1;Reserva/pública
3;2019;578;13281;Integral;Bacharelado;1;6F9604363906309A3AB4874F77CC7BA5;43367202;Não declarou;Masculino;1990;1;17;29;Brasileira;Não;formado;3006;3109;01/01/2017;Não;Sim;Não;Não;Não;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Não;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Não;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não faz atividade extracurricular de estágio;Aluno não faz atividade extracurricular de extensão;Aluno não faz atividade extracurricular de monitoria;Aluno não faz atividade extracurricular de pesquisa;Privada;Situação de matrícula;Situação de concluinte;Situação diferente de ingresso total;2017;Não declarou;Enem;17/01/1990;1º semestre;2017,1;formado;3006;Estatística;27;2º semestre;01/01/2020;6;NA;6;1;Area 1;3006;103,43;(100,199.7];8;NA;formado;1;NA;Formado;1;1;1;SemReserva/privada
4;2019;578;13281;Integral;Bacharelado;1;07022A89425F1FE24DE2EFA43DD5500A;41975084;Preta;Masculino;1989;1;9;30;Brasileira;Não;matrícula trancada;3006;0;01/01/2015;Não;Sim;Não;Não;Sim;Sim;Não, aluno possui outro tipo de reserva de vagas;Sim;Não, aluno possui outro tipo de reserva de vagas;Não, aluno possui outro tipo de reserva de vagas;Não;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Não;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não faz atividade extracurricular de estágio;Aluno não faz atividade extracurricular de extensão;Aluno não faz atividade extracurricular de monitoria;Aluno não faz atividade extracurricular de pesquisa;Pública;Situação diferente de matrícula;Situação diferente de concluinte;Situação diferente de ingresso total;2015;Preta, Parda e Indígena;Enem;09/01/1989;1º semestre;2015,1;matrícula trancada;3006;Estatística;26;Não concluinte;Não concluinte;NA;10;10;0;Area 1;3006;0;[0,25];8;NA;matrícula trancada;1;NA;Matrícula trancada;4;1;1;Reserva/pública
5;2019;578;13281;Integral;Bacharelado;1;D8E24490B5E53121DEB9974791C59077;43361026;Preta;Masculino;1991;9;26;28;Brasileira;Não;matrícula trancada;3006;1224;01/01/2014;Não;Sim;Não;Não;Não;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Não;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Não;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não faz atividade extracurricular de estágio;Aluno não faz atividade extracurricular de extensão;Aluno não faz atividade extracurricular de monitoria;Aluno não faz atividade extracurricular de pesquisa;Privada;Situação diferente de matrícula;Situação diferente de concluinte;Situação diferente de ingresso total;2014;Preta, Parda e Indígena;Enem;26/09/1991;1º semestre;2014,1;matrícula trancada;3006;Estatística;22;Não concluinte;Não concluinte;NA;12;12;0;Area 1;3006;40,72;(25,50];8;NA;matrícula trancada;1;NA;Matrícula trancada;4;1;1;SemReserva/privada
6;2019;578;13281;Integral;Bacharelado;1;42D8202107E360DF580A4DEBC92A83E0;44299263;Parda;Masculino;1995;1;25;24;Brasileira;Não;formado;3006;3026;01/07/2016;Não;Não;Sim;Não;Não;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Aluno não possui qualquer tipo de reserva de vagas;Sim;Sim;Não, aluno possui outro tipo de apoio social;Não, aluno possui outro tipo de apoio social;Não, aluno possui outro tipo de apoio social;Sim;Não, aluno possui outro tipo de apoio social;Sim;Não, aluno possui outro tipo de atividade extracurricular;Não, aluno possui outro tipo de atividade extracurricular;Não, aluno possui outro tipo de atividade extracurricular;Sim;Aluno não faz atividade extracurricular de estágio;Aluno não faz atividade extracurricular de extensão;Aluno não faz atividade extracurricular de monitoria;Sim;Pública;Situação de matrícula;Situação de concluinte;Situação diferente de ingresso total;2016;Preta, Parda e Indígena;Vagas Remanescentes;25/01/1995;2º semestre;2016,2;formado;3006;Estatística;21;1º semestre;01/07/2019;6;NA;6;1;Area 1;3006;100,67;(100,199.7];8;NA;formado;0;NA;Formado;1;1;1;SemReserva/pública
7;2019;578;13281;Integral;Bacharelado;1;264B4423DAF1A4AC592573B502FD457A;43361484;Parda;Feminino;1992;6;3;27;Brasileira;Não;matrícula trancada;3006;68;01/01/2018;Não;Sim;Não;Não;Sim;Sim;Não, aluno possui outro tipo de reserva de vagas;Sim;Sim;Não, aluno possui outro tipo de reserva de vagas;Não;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Não;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não faz atividade extracurricular de estágio;Aluno não faz atividade extracurricular de extensão;Aluno não faz atividade extracurricular de monitoria;Aluno não faz atividade extracurricular de pesquisa;Pública;Situação diferente de matrícula;Situação diferente de concluinte;Situação diferente de ingresso total;2018;Preta, Parda e Indígena;Enem;03/06/1992;1º semestre;2018,1;matrícula trancada;3006;Estatística;26;Não concluinte;Não concluinte;NA;4;4;0;Area 1;3006;2,26;[0,25];8;NA;matrícula trancada;1;NA;Matrícula trancada;4;1;1;Reserva/pública
8;2019;578;13281;Integral;Bacharelado;1;F92620B72F4C15421406885005F36C06;44356834;Parda;Feminino;1995;10;1;24;Brasileira;Não;Desvinculado do curso;3006;1955;01/01/2014;Não;Sim;Não;Não;Sim;Sim;Não, aluno possui outro tipo de reserva de vagas;Sim;Sim;Não, aluno possui outro tipo de reserva de vagas;Não;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Não;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não faz atividade extracurricular de estágio;Aluno não faz atividade extracurricular de extensão;Aluno não faz atividade extracurricular de monitoria;Aluno não faz atividade extracurricular de pesquisa;Pública;Situação diferente de matrícula;Situação diferente de concluinte;Situação diferente de ingresso total;2014;Preta, Parda e Indígena;Enem;01/10/1995;1º semestre;2014,1;evadido;3006;Estatística;18;Não concluinte;Não concluinte;NA;12;12;0;Area 1;3006;65,04;(50,75];8;NA;Desvinculado do curso ou Transferido para outro curso da UFBA;1;NA;Evadido;2;1;1;Reserva/pública
9;2019;578;13281;Integral;Bacharelado;1;CB94DAC69E696DD836CAB14334CCAB42;44355807;Parda;Feminino;1996;2;14;23;Brasileira;Não;formado;3006;3110;01/01/2014;Não;Sim;Não;Não;Sim;Sim;Não, aluno possui outro tipo de reserva de vagas;Sim;Não, aluno possui outro tipo de reserva de vagas;Não, aluno possui outro tipo de reserva de vagas;Não;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Sim;Não, aluno possui outro tipo de atividade extracurricular;Não, aluno possui outro tipo de atividade extracurricular;Não, aluno possui outro tipo de atividade extracurricular;Sim;Aluno não faz atividade extracurricular de estágio;Aluno não faz atividade extracurricular de extensão;Aluno não faz atividade extracurricular de monitoria;Sim;Pública;Situação de matrícula;Situação de concluinte;Situação diferente de ingresso total;2014;Preta, Parda e Indígena;Enem;14/02/1996;1º semestre;2014,1;formado;3006;Estatística;18;2º semestre;01/01/2020;12;NA;12;1;Area 1;3006;103,46;(100,199.7];8;NA;formado;1;NA;Formado;1;1;1;Reserva/pública
10;2019;578;13281;Integral;Bacharelado;1;59975CF32687A67CF98D25216FF3B840;44464754;Parda;Feminino;1995;5;20;24;Brasileira;Não;formado;3006;3369;01/01/2014;Não;Sim;Não;Não;Sim;Sim;Não, aluno possui outro tipo de reserva de vagas;Sim;Não, aluno possui outro tipo de reserva de vagas;Não, aluno possui outro tipo de reserva de vagas;Não;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Aluno não possui qualquer tipo de apoio social;Não;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não possui qualquer tipo de atividade extracurricular;Aluno não faz atividade extracurricular de estágio;Aluno não faz atividade extracurricular de extensão;Aluno não faz atividade extracurricular de monitoria;Aluno não faz atividade extracurricular de pesquisa;Pública;Situação de matrícula;Situação de concluinte;Situação diferente de ingresso total;2014;Preta, Parda e Indígena;Enem;20/05/1995;1º semestre;2014,1;formado;3006;Estatística;19;2º semestre;01/01/2020;12;NA;12;1;Area 1;3006;112,08;(100,199.7];8;NA;formado;1;NA;Formado;1;1;1;Reserva/pública
